RecordID,Age,Gender,City
AGK166,40.0,Male,Berlin
BSB1145,44.0,Male,Berlin
AJR251,31.0,Male,Berlin
BFZ831,37.0,Male,Walldorf
AQC418,,Male,Munich
ACN65,38.0,Male,Stuttgart
ADW100,26.0,Male,Munich
AYC626,31.0,Male,Munich
AAP15,31.0,Male,Wolfsburg
AKD263,34.0,Male,Munich
AUH527,28.0,Female,Berlin
AOW386,27.0,Male,Berlin
AAA0,26.0,Male,Munich
BIY908,29.0,Male,Berlin
ASF473,,,Berlin
BPW1088,31.0,Male,Berlin
AKJ269,34.0,Male,Leipzig
BBR719,33.0,Male,Berlin
ATT513,40.0,Male,Berlin
ATU514,24.0,Female,Berlin
AZQ666,32.0,Male,Cologne
BDJ763,30.0,Male,Berlin
BHL869,36.0,Male,Frankfurt
AXF603,41.0,Male,Berlin
AVN559,31.0,Male,Salzburg
AXM610,25.0,Male,Berlin
BRD1121,35.0,Male,Frankfurt
BIE888,42.0,Male,Berlin
AUO534,28.0,Male,Berlin
BGI840,25.0,Female,Munich
AEY128,31.0,Male,Berlin
AXH605,28.0,Female,Berlin
BSV1165,24.0,Male,Berlin
BLZ987,34.0,Male,Berlin
BFH813,42.0,Male,Friedrichshafen
AHU202,35.0,Male,Berlin
BGN845,29.0,Female,Berlin
BQJ1101,35.0,Male,Berlin
BMF993,29.0,Male,London
BFG812,25.0,Male,Marseille
BNV1035,30.0,Male,Heidelberg
AUD523,36.0,Female,Munich
BHS876,33.0,Male,Frankfurt
ATI502,33.0,Male,Munich
ADL89,29.0,Male,Berlin
BHE862,33.0,Male,Munich
AAC2,29.0,Male,Berlin
BQE1096,35.0,Male,Fr
BRN1131,35.0,Male,Berlin
AOR381,33.0,Male,Berlin
AGF161,36.0,Female,Munich
BTZ1195,31.0,Male,Berlin
BNG1020,32.0,Male,Innsbruck
BVV1243,32.0,Female,Munich
BKR953,29.0,Male,Helsinki
AYU644,31.0,Male,Frankfurt
BPT1085,37.0,,Munich
ABU46,28.0,Female,Berlin
AIT227,29.0,Male,Berlin
AJG240,31.0,Female,Stuttgart
BRH1125,34.0,Male,Munich
BBS720,44.0,Male,Kyiv
AYN637,38.0,Male,Munich
BJT929,35.0,Male,Berlin
BKD939,41.0,Male,Rome
ABZ51,28.0,Female,Berlin
AJF239,26.0,Female,Berlin
BUR1213,30.0,Male,Munich
AZB651,28.0,Male,Berlin
BBM714,32.0,Male,Paris
BAF681,32.0,Male,Berlin
AWK582,30.0,Male,Berlin
BVC1224,31.0,Male,Munich
BBQ718,47.0,Male,Bölingen
AVH553,27.0,Male,Berlin
BKH943,26.0,Male,Lisbon
AGP171,28.0,Male,Berlin
AML323,32.0,Male,Munich
AHJ191,30.0,Female,Berlin
BTF1175,33.0,Male,Berlin
AXX621,28.0,Male,Berlin
BSE1148,,,Frankfurt
BFN819,30.0,Male,Berlin
BGL843,40.0,Male,Berlin
AGD159,33.0,Male,Berlin
AMB313,29.0,Female,Munich
BET799,30.0,Female,Düsseldorf 
BUN1209,24.0,Female,Munich
ANU358,28.0,Male,Stuttgart
BCZ753,39.0,Male,Cologne
BIA884,33.0,Male,Berlin
BGE836,44.0,Male,Frankfurt
BST1163,27.0,Male,Munich
ACO66,32.0,Male,Berlin
BEH787,32.0,Male,Siegen
ATY518,39.0,Male,Berlin
ALJ295,32.0,Male,Berlin
AVA546,28.0,Male,Munich
BVE1226,27.0,Male,Munich
ARC444,24.0,Male,Tallinn
ABO40,29.0,Male,Berlin
BBJ711,41.0,Male,Munich
AGJ165,33.0,Female,Berlin
AJI242,29.0,Female,Stuttgart
ASY492,23.0,Male,Berlin
BKN949,27.0,Female,Munich
